_excel_row_number,id,clinic_id,feature_code,is_enabled,config,created_at,updated_at
83,3f00b9dd-4db0-4dd8-b816-299b788deb91,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,nursing_notes,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
84,52d453f9-80b9-4ece-a118-0cd7794a30ab,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,inpatient_billing,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
85,f3b7fdc5-3ab8-417b-855e-3ba2dc39a67d,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,ward_management,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
86,ef708f05-ab7f-4b42-bf25-c5c68856468a,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,order_intake,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
87,08b5dc84-00be-400e-b7df-1470ff6adf14,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,imaging_workflow,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
88,ef3dad83-5c42-47f5-b09a-bc899d3aa6ab,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,lab_workflow,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
89,1604f03e-bab7-4799-a645-b1a37093418e,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,result_upload,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
90,0f876d59-2acd-46d6-a0b8-f173a494ed19,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,result_delivery,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
91,f2ad46c8-2da7-42d9-9eda-0e0d4d344010,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,external_orders,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
92,5a1c36b0-b229-4e59-8164-0235f282dfd3,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,pacs_integration,f,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
93,ff678df8-4935-44d7-a0eb-32661754d6fb,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,lis_integration,f,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
94,1115a57d-f19a-4305-be76-e8d3985321f2,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,diagnostic_billing,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
